time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010495349642	102.267	16.3826	1.20405	0.0600005	0.202941	radar	1.92794	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.009	15.4032	0.512943	-1.07588	-0.564363	lidar	2.60512	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	103.002	15.4636	1.16719	-0.674095	-0.0892828	radar	4.94298	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.09	15.2462	1.384	0.0251225	0.361229	lidar	1.03053	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.04	15.2397	1.29632	-0.0189246	0.335609	radar	0.593625	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.536	14.4739	1.93168	-0.697528	-0.24298	lidar	1.41072	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.481	14.4665	1.83829	-0.702996	-0.243136	radar	0.722829	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.815	14.0275	1.38604	-0.304516	0.142697	lidar	1.04162	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.775	14.0054	1.51873	-0.310424	0.174279	radar	1.34947	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	108.081	13.6587	1.6966	-0.0793069	0.208862	lidar	0.0146828	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.085	13.6599	1.65074	-0.0829279	0.199873	radar	0.0423716	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.533	13.5723	1.81768	0.0789196	0.177479	lidar	0.00946197	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.485	13.566	1.5922	0.0663245	0.166675	radar	0.414214	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	111.059	12.615	1.79751	-0.885044	-0.496021	lidar	1.78777	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.152	12.6603	2.30038	-0.662146	-0.207469	radar	2.11887	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
1477010503349642	112.898	12.4641	1.46277	-0.0900549	0.271991	lidar	1.67942	112.913	12.4877	112.893	12.6299	1.7999	-0.254723
1477010503349642	112.914	12.4437	1.76717	-0.0873462	0.284918	radar	0.458419	112.797	12.8241	112.893	12.6299	1.7999	-0.254723
1477010504349642	114.793	12.5463	2.48003	0.297658	0.346226	lidar	0.16555	114.801	12.5506	114.699	12.4195	1.90891	-0.175007
1477010504349642	114.787	12.554	2.08656	0.321733	0.392279	radar	0.530868	114.916	12.3187	114.699	12.4195	1.90891	-0.175007
1477010505349642	116.68	12.1267	1.81592	-0.286258	-0.206729	lidar	1.52077	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683
1477010505349642	116.731	12.1459	2.21297	-0.193187	-0.103128	radar	0.588549	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683
1477010506349642	118.944	11.9932	2.78538	0.0171402	0.0944517	lidar	0.276556	118.953	12.0009	118.628	12.2586	2.11648	0.0177712
1477010506349642	118.906	11.9956	2.35409	0.0317637	0.0904651	radar	0.482627	118.85	12.4063	118.628	12.2586	2.11648	0.0177712
1477010507349642	120.698	12.2891	2.07814	0.252761	0.171432	lidar	0.047271	120.695	12.2918	120.743	12.3289	2.21139	0.128528
1477010507349642	120.747	12.293	2.26141	0.250076	0.165716	radar	0.472289	120.934	12.1905	120.743	12.3289	2.21139	0.128528
1477010508349642	123.55	12.8319	3.83581	0.130267	-0.0126385	lidar	0.862482	123.568	12.8297	122.95	12.5114	2.29835	0.246599
1477010508349642	123.427	12.8123	2.69944	0.0811665	-0.0342689	radar	3.28319	123.142	12.7694	122.95	12.5114	2.29835	0.246599
1477010509349642	124.906	12.7764	1.51505	-0.0367121	-0.084973	lidar	0.454737	124.894	12.7743	125.242	12.8125	2.37624	0.369827
1477010509349642	125.027	12.7903	2.56017	-0.0151146	-0.0551202	radar	3.06334	125.376	12.9964	125.242	12.8125	2.37624	0.369827
1477010510349642	127.842	13.3179	3.57706	0.358143	0.213121	lidar	0.614702	127.853	13.3273	127.609	13.2365	2.44434	0.495787
1477010510349642	127.756	13.3191	2.92049	0.421167	0.304626	radar	1.53047	127.506	13.153	127.609	13.2365	2.44434	0.495787
